ACCNTNUM	CNTRYSCHEME	POSTALCODE	CNTRYCODE	STATE	COUNTY	DISTRICT	NUMBLDGS	EQCV1VAL	EQCV2VAL	EQCV3VAL	EQSITELIM	WSCV1VAL	WSCV2VAL	WSCV3VAL	WSSITELIM	EQCV1VCUR	EQCV2VCUR	EQCV3VCUR	EQSITELCUR	WSCV1VCUR	WSCV2VCUR	WSCV3VCUR	WSSITELCUR	OCCSCHEME	OCCTYPE	ENGFOUND	STRUCTUP	IFMVERTICALEXPDIST	IFMEQUIPBRACING	BLDGSCHEME	BLDGCLASS	NUMSTORIES	YEARBUILT
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	13	100800000.0	20160000.0	3360000.0	2000000000.0	100800000.0	20160000.0	3360000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	111	6	1995
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	9	67200000.0	13440000.0	2240000.0	2000000000.0	67200000.0	13440000.0	2240000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	111	6	2008
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	13	97200000.0	19440000.0	3240000.0	2000000000.0	97200000.0	19440000.0	3240000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	311	3	1995
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	9	64800000.0	12960000.0	2160000.0	2000000000.0	64800000.0	12960000.0	2160000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	311	3	2008
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	9	64799999.99999999	12959999.999999998	2160000.0	2000000000.0	64799999.99999999	12959999.999999998	2160000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	311	6	1995
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	6	43200000.0	8640000.0	1440000.0	2000000000.0	43200000.0	8640000.0	1440000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	311	6	2008
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	9	64799999.99999999	12959999.999999998	2160000.0	2000000000.0	64799999.99999999	12959999.999999998	2160000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	111	3	1995
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	6	43200000.0	8640000.0	1440000.0	2000000000.0	43200000.0	8640000.0	1440000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	111	3	2008
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	6	43200000.0	8640000.0	1440000.0	2000000000.0	43200000.0	8640000.0	1440000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	111	6	1995
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	4	28800000.000000004	5760000.000000001	960000.0000000001	2000000000.0	28800000.000000004	5760000.000000001	960000.0000000001	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	111	6	2008
